Cuisine,NumberOfReviews,Rating,RestaurantId
chinese,113,3.0,7hh2eP4HVkyjtpcqeITk3Q
chinese,317,3.5,S2NwTMDe4Vcs6nAoTeMYlA
japanese,47,4.5,MzA6gitJKqfW4VrdS7AiQw
chinese,72,4.0,NjBgTtcJgdXKLvqYt3C8CQ
chinese,65,2.5,xNge6PZM4ACi74NSDeQcxw
chinese,590,4.0,P2bxlKAmRWZIpHdJ_JT3fg
chinese,387,4.0,BPErPpKSNluwcjbKRgze3w
chinese,166,4.0,30pqvzHrCNmnodJCRyzrTg
chinese,10,5.0,A_fZL0ir_actclrL-ePTOw
chinese,110,4.0,heM6XLWvfYuivaf2IjBMFQ
chinese,9,4.0,ikx8R8u2lmxhpLGByCjgPw
chinese,504,3.5,B7bxdtvLYR7Nmex4AIFd4w
chinese,1557,3.5,_usWsAYSKKV2q8xw-3ajrA
chinese,199,4.0,dn8_HgoGUE4IFzwPI6GeLA
chinese,13,4.0,J4x8WRUAoG7HKiGMjFGPvQ
chinese,66,3.5,71_8yA0L_FCwfgC-8KQjXA
chinese,34,3.5,FDhOPRZ01PDEEH-QCnVIyQ
chinese,623,3.0,lpLd3AFaMOV7LfPtvUiq8A
chinese,53,4.5,w3wKbjuNCZnYoPOr-FCk5w
chinese,167,4.0,eMmcNV51xPKNGMCqBccPvw
chinese,39,4.0,1fVp9c5Vw04ig171a_juRw
chinese,456,4.0,bT4CDzyhV-frXV6ijvXnvw
chinese,76,4.5,HjUwZOlok1TabhS4S1ya2w
chinese,134,4.0,mxjv5RgkTr5qw3wjr2fXmA
chinese,21,3.0,wBDwFCpRQTwhP3QbGe3a5g
chinese,230,4.0,bcqTacyE-0XDaZYG_xbTBQ
chinese,154,3.5,lFq-2FMJogdokie314E1bQ
chinese,271,4.0,dDXtga5Kgo5B1twdezcZJA
chinese,1943,3.5,FH978pIP1TLRuPAH-MbWIQ
chinese,48,4.0,croh2zWlbPyCQTNS11klcg
chinese,255,4.0,_XLLSXPIjgoZQtwU3RCcQA
chinese,147,4.0,wDuf4Qz9qsC62amLZgWNJQ
chinese,30,4.5,3OT1deSiIYhrcXWJ1sD3wA
chinese,485,4.0,8ig0yf0003DAp4YOGTlbVg
chinese,57,4.0,SNDUD4LFjVHWwrdAkokxRg
chinese,175,4.0,WzdVUuFIv1JzLPTZRnTjVA
chinese,1249,3.5,L37A2JWXfwR_PgKColA8xA
chinese,3,4.5,E7q1Qf6380N_aMqz28EgNw
chinese,206,4.0,sfsjk1h50ooC2ioY7m48gw
chinese,34,4.0,h4Rv0JxE97_I1dNDmuzb1g
chinese,403,4.0,B8tDnyFltP3bxMxSsjCvVA
chinese,190,4.0,xCHApgtkLpEyh0lz-uhZvg
chinese,132,3.5,2tR7d61tBGNlGaJRYvrN0Q
chinese,46,4.0,3fQ9IExhN9KMqGHVm_9AEQ
chinese,273,4.0,lKxmH-hQ6ezKbq4URKrd-Q
chinese,734,3.5,rEbwps11tIERRkwQrIXQog
chinese,7,4.5,tpNw3wIbehblYJAxPWFDRw
chinese,12,4.5,PXm4BNjTgWHYClemDAkDjw
chinese,17,3.0,eNZ4VK4G9z5LPdG756pixw
chinese,48,4.5,dhR4FMfoN0-MT5JOs7B-5g
chinese,36,3.5,_5E5cZP0PzkwfdEqTebBUg
chinese,21,4.5,4p5Fzyt3-mEYFKIYqZ54aA
chinese,74,3.5,RffIwNrMmEf5auDVP1eURA
chinese,25,4.0,54om5q7V4anmIXw2PdNJbA
chinese,46,4.0,MXstrG3HjF83LcxAd8OpTw
chinese,84,4.0,JjzCmRn3q8JrlwHx8nFhAA
chinese,137,3.5,Jn7Wtek5_R12TKp2VUJuhw
chinese,14,4.5,Tk605KjXVTnXpGkOSuVBaQ
chinese,108,3.5,TWI3efEcCVsTErKFWz4Zqg
chinese,40,4.0,KavW0SjAiElP2ajaexNQDQ
chinese,22,4.0,e6c0R0ME8QGw_ZY0RzuGxQ
chinese,1,5.0,i7dD3RpslT-ZWFjdu6XVeA
chinese,212,3.5,yEHZiUgIihoSg6quQHcgmA
chinese,305,3.5,8UlRXXPaSI383aiOiJQi5A
chinese,110,3.0,MYPes7EWP5aLiVG1Z_9eFQ
chinese,5,4.0,EgBPFtixZK9VhRtFsobDxg
chinese,385,4.0,Kqb7MjTPNkjPMoFRd-rWpw
chinese,128,4.0,tS4aiWBYgzlqKX898jr3_w
chinese,27,4.0,EN9_LsFpY44Hkzcnu0jfIg
chinese,1451,3.5,6zM0c7vvoddgza_qvKkATw
chinese,121,4.5,DPOWubhvyzYGjLbVvbr_sg
chinese,78,4.0,qH8PVeddtVs9cKN2pwgdkQ
chinese,34,4.0,AA54rKcNIMglGhofj0huvg
chinese,156,3.5,aije_BqBVVl-6T13QsnRqQ
chinese,376,3.5,SVJNB9LqI13jtVyKMZVqeg
chinese,293,3.0,s25mujxKWphsyFm0Ji1xYA
chinese,99,4.0,5RjZCsXuWPclyrDsnsXw7w
chinese,41,3.0,GTVPC-4dLsJpRr57J3V6NQ
japanese,189,3.0,6kCo3xb87Sc3Aa5ZSWzNnw
chinese,7,4.0,u5dmxko_LFYw0sAvIA8qNA
chinese,104,3.5,Yb6PQ_4YQpJ0SVZ1tetkbg
chinese,295,4.0,l44CFBTejwL0ElKmkH7xQQ
chinese,108,3.5,KwTr8s5IrVq6tMO4XE6P-w
chinese,264,3.5,gxvwxZWWSKNFMsVr10YAQg
chinese,206,3.5,7hyQqnnAisSL-nfIWCPziQ
chinese,219,3.5,tfMPbnQqJ1P1RIab-o6gtg
chinese,12,4.5,XYdIb4Y9fCXNiHY3S1WAYw
chinese,67,4.0,SBJHGtqJyfaU47NPjGAU6A
chinese,46,3.0,PUwrkoUztUYs4VdHlK9qBg
chinese,712,3.5,6LfskUyZzmcDSV6h5kOwGw
chinese,32,3.5,wo7-TKh4B37RTBjPNtkp7w
chinese,700,3.5,XkL6fOBtaIqVCMXVCY9row
chinese,6,4.5,2UAvRLaWMc8lYE4FZSPhrA
chinese,63,4.5,bRL9IQG2gpdAAEcaa8V0Qg
chinese,39,3.5,KgosIJNr-XTOsjkiKlS4vQ
chinese,7,3.5,C8uqkZ2ArRAqcD_uXkMpHw
chinese,21,3.5,hBbAmEYXM4L03AU9Vt_p9g
chinese,14,4.0,b2d8CP6sKQotFjzZX0Thtw
chinese,30,4.0,cWPdP8_GqEWxZKRiOonfDg
chinese,45,3.0,LrFnMmjirO9jtyo0tTdfVg
chinese,155,3.5,CesS-E8Q3ztX6VnkXO6wBg
chinese,329,3.0,NZb6ILmE0p4gQ5harzrAvA
chinese,216,4.0,vZgJyMZlpSSS_Y-duxd4_A
chinese,133,4.0,mA7_wkXy3fDuQ00iV6GYqQ
chinese,18,3.5,FWeJx2alqE_JXqS5yIdw3w
chinese,11,4.0,g42C_GsiLWzbVY2OZQsoyw
chinese,94,4.0,-7PgxPVUGZh__U3CxRFKxg
chinese,27,4.5,SGpqzs1ZtOqGPVTfedrf8w
chinese,138,3.5,rkeH5HJIuX7ZcOaYNum9xA
chinese,474,4.0,Va_mnsEvBghHXvc7uZIWJQ
chinese,324,3.0,PGeL1b4xNJggpZsHEGoxjg
chinese,11,3.5,0odtQty6tMRPQ7UrNysUxw
chinese,93,4.0,eqdqHdY1CdCRHMXf6CgK3Q
chinese,18,3.5,2DlAPX4KBG8e7veOWYR6DQ
chinese,221,3.0,Ece_DRuD1yQjRPJBAebRpw
chinese,115,3.5,Bwj7nzWphGV6FaZ_ygTSOg
chinese,55,3.5,s5JNxy0eAFgxS2Poi73ODw
chinese,16,3.5,-blfi-MkfH1KxX9KrO59jw
chinese,183,3.5,XmycF9-fpEPlgMe8_qgJrQ
chinese,24,3.0,TUpKY3rsYnrYHkbuD46bxg
chinese,23,4.0,-Bh1oJYcf7XmmznR91jX_A
chinese,22,4.5,zPMSuQJRpXi11G_Tqv1LJQ
chinese,16,4.0,CflDIalFPdd7U3-fcq4Lkg
halal,53,3.5,VEjkxniAlG35cR3pjHvF-A
chinese,21,3.5,GfLL6-n6UNZ07SEHfjeIgA
chinese,19,3.5,SyEJPitYvvjrnnSXOzGcDA
chinese,1,5.0,l2QAblZ1ii7v030GUVBsJQ
chinese,332,3.5,si4n0EtvAl3QisVHoKPOuw
chinese,26,4.0,gAugxpTjPNbMK86dvXirJQ
chinese,550,3.5,Vzx-7-jSEBz2g8NuGVhHvQ
japanese,1,5.0,0CXOlOPhQSSg3lSs27GOTA
chinese,23,3.5,Cyv-tW4BljwWnP16HI_zAg
chinese,387,3.5,wurhcLKXD4YJ5XfTxpbE5Q
chinese,105,3.5,ZdLS7gD1ulmCPkqNc9_S3A
chinese,57,3.0,ujp85itdKDVskfVijsZgGA
chinese,28,4.0,nXh79laNQ7leN92F5Ore-Q
chinese,235,3.5,38KDbZ8yuozUbswBr6OWVA
chinese,178,4.0,sGwQYKPaMJ-tD2E4fQ0EJQ
chinese,11,4.5,A_e9adJ7v_U7trur2JMrgA
chinese,172,3.5,Tb4aUIIy74xG9wLDEwpxdw
chinese,26,2.0,fSrNR5LTGNZ0prZWGivLrA
halal,314,4.0,AvTezlpt3GXTdSEnXbHP4w
chinese,5,4.0,f_drbnpRrvOfLKWMiT247w
chinese,139,4.5,vgG8hgJbPLKfx-n9TYqCDw
chinese,1,5.0,lprKZ3XmS2VuUdkHkCh2sQ
chinese,426,3.0,v2dtG37r1ThqtfEfiFsAUg
chinese,15,3.5,gNFgZSfndMAjK0ClvQ5Q2A
chinese,12,4.5,BAKjtydOJj6KrsGCo-6DEQ
chinese,144,3.5,c10jv8s_MJdFFOXviSt2Ew
chinese,260,4.0,ovOupYdkZOWUeDMOdt--ng
chinese,21,4.0,5u4T6-Z-KhHrRZ9g54pugQ
chinese,760,3.5,uaFHoq-a5XqxF-bsOK9_Qg
chinese,167,3.5,lgS9lE0Y9FhzT68zCj5QCw
chinese,20,4.0,yYb0d4LHFgH65KZeKuxwpQ
chinese,4,4.5,xsU6Gs5m89_u2d7G75s4dw
chinese,26,4.0,Aux2Mp7bGnF3S6h60ab3iQ
halal,90,4.0,ubeG-hyIV8qoSSAk_pAZ2A
chinese,3,4.5,odSCzx-II2aPg9yhcVda7A
chinese,385,2.5,_RhAY03oEBw9HNwUAJyBCw
chinese,90,3.5,zyG1GIU3KnIZ3bOVGgJXlA
chinese,55,3.5,Qgv2vyUV-DwK8YwrhU-jtw
chinese,3,3.0,FZq-6qLB1RLG59V8dTnFhw
chinese,13,4.5,VQ5YGa4L4AT3ugF61hM9qQ
chinese,254,3.5,Nt3Y26a6OMtdBe8xMMJjqQ
chinese,10,4.0,NpIYZAo55GDnIxwkkh6Q7g
chinese,155,3.5,AxalkZb61r5Ks7l1yhhIHQ
chinese,143,3.5,nBm-zxAWg_oA8JNtHxPvcw
chinese,113,3.0,56wxE888GknVcUeAXBfqFw
chinese,73,3.5,LztkKM-lvRraBbS9TVXzcg
chinese,17,3.0,wfkHwMHUxzmN4YjBbjSd9A
chinese,18,4.0,BJi6fX-mObaJ3N75v6mwaQ
chinese,837,3.5,uiQ6p_3biJD5S4PrF58t_g
chinese,481,3.0,g_5V15Xp1OvB1QXuGMstYA
chinese,419,3.5,S-aX_Pz8F7nDL6kRThKcHw
chinese,23,4.0,rlJ2Moc6A9R3qpYJlR8D3Q
chinese,143,3.0,OfqANzeWRlZrdHQuG7pI0w
chinese,1,5.0,NzN-RBnAA022LW4_dHHnqw
chinese,7,3.5,EcGGPApH_o84-_kmi-RaJw
chinese,10,4.5,b7uTP_afs5Gkf66K7yDl-w
chinese,10,3.5,vSPKmk499CglpfJFuFvbvg
chinese,174,4.0,osnb51lPIHxUKRlcg7idwA
chinese,4,5.0,WEa266y5CsANNqvyfG7elA
chinese,22,4.0,LpfsAZ7mBmK1om17S477zA
chinese,8,4.0,vSkCDRWX6VvP4PJHHFgoDw
chinese,225,3.0,zYoL-o9YJpGTwJ-Gmj8AFA
chinese,7,4.0,T9qOf4gw6poRTTiDx5pH9g
chinese,14,3.5,lbZqfX4vvCr1aMLuEey3Ag
chinese,5,4.5,W-i6X2KWxRjsG05CgIM9ow
chinese,55,4.0,tDYk6DmmU3buWBs9G0NBXQ
chinese,16,4.5,QQfwlKFD6X8-ZXf7gfQZqg
chinese,49,3.5,zLKnugqoFX0BRQKJJsdnbg
chinese,220,3.5,IgTNgGE0qvTjkmCUzrNwtQ
chinese,2,1.5,n5YdV7lfRP1ysnooQa-76w
chinese,10,4.5,W3XmpomxgjrVjrAE_Z55ow
chinese,20,3.0,essVcYQ__u-hVR5Y0eAfSQ
chinese,51,3.5,BcOuqkUniZJG5NLpdzeOYQ
chinese,15,4.0,TDXFB6lBsA-uvFdnPxBv9g
chinese,28,4.0,y8xZmhrp6zKnxJNtqFa_8g
chinese,132,3.5,joSU4pnYVMhAuZ6ccaqqdA
chinese,408,3.0,4s_PhObBStJL6EYVtIAsrQ
chinese,70,4.0,YIwYw_A_LRwK66HBTzogYQ
chinese,2,3.5,zlWJL3lO7Ar1Mt8lyTbocg
chinese,205,4.0,83ZcxzvtHX2PmsH_wPReOw
chinese,100,4.0,DpfE0gPBXj-aj2pnEh4E2Q
chinese,88,3.5,rpLZDxivPeb9ZXqqgDPfpg
chinese,25,3.0,Xl0JBlbr-D4aICTMcYi5TA
chinese,65,3.0,EP5F-WYOuJ22NrCyNWYccA
chinese,24,3.0,I80-WqcToTJ6VdXoRq6DYA
chinese,43,2.5,HIGneWKny_s38Y6jRoTDrQ
chinese,16,4.0,G9uSeXMXv6QB8ZEQeOhYVA
chinese,30,3.0,m5XY2noC-5hoG9kRV-aOGw
chinese,52,3.0,J9kON4T_XtDPDk6jRoR5xA
chinese,85,3.5,hY3z_joaHduNcF-C3ZWgqA
chinese,44,3.5,POA4ua0BjwnJgzNWxkHmUA
chinese,95,3.5,AJKcsxpc9IthvhdEnfqogg
japanese,451,3.5,53y6b_-YaptXhlm2-STzeA
chinese,15,3.5,fahnqhxhFqyMAHKVC01sSA
chinese,5,4.0,2EX6_AH5gUj0fBY2YAnNrw
chinese,30,3.0,rk8V5c1Wr5gVLKOaY0g4VQ
chinese,8,4.0,lNVGCxjs0_FZz4J81ds71Q
chinese,956,3.5,ZUBqQZwMGZSOVbfpOI_uyg
chinese,58,4.0,yDfgB1nvvuABZVzVjoJV7A
chinese,575,3.5,RTFIMX31BPeZzx7kJJ1SCA
chinese,76,3.5,kB2XfL4Rr8cxetafqu5kXQ
chinese,171,4.0,duofsxNkSFWVre6eV1uhUQ
chinese,89,4.0,BkXb82Y2OIsQ5RpNNQOYmQ
chinese,58,3.5,dRrIJiVrjD2cLO_3bmfX-Q
chinese,7,4.5,PsLtQksvoTiFkkz3b8qD6Q
chinese,140,3.5,bAPDGHHaLZs-XEFk7ZXGVA
chinese,137,3.0,gQ6DNeLNWQV-zwWyuFeBpg
chinese,50,4.0,douRKPVxuo8BEOkMxgVl_w
chinese,15,3.0,JbAdL2vOd-8O_Xa2wRktug
chinese,12,4.5,2rSmA4IK51QAQj60YGvjnw
chinese,5,5.0,k_y6o8zqI3cODdKABwWZ9g
chinese,550,3.5,91rrB0aH3caC70oCkxAynA
chinese,28,3.5,fMLvqGCuPWGsK6vMKthlkg
chinese,66,3.5,m4Q7Te--vJwBPi6j1_1mfg
chinese,20,4.0,Q29wPbgiFkYDifXoCpXwqw
chinese,206,3.5,0yC40qHlgV3LTVx_jEr8pg
chinese,49,3.5,GmtybiZEicQ4qqPTzhqVew
chinese,9,4.5,jkd9CqvEuIJ_GM0i-lThKw
chinese,234,3.5,dVAI5zh29psdbHp9wGXwVQ
chinese,139,3.5,Jy7htqnnxlKB2vZO42_-aw
chinese,5,3.5,HA5H73HvFX74Y-oqJeKrvw
chinese,6,3.0,DMD9T2qmLopzy0JjQYtCag
chinese,57,3.5,8ceGPxcSMdwa8k7y-DLZxA
chinese,34,3.5,KIPrTLyJb0mHpsxuaCByZg
chinese,455,3.5,Y1s36Tk63HIzAc76X_fAiQ
chinese,111,3.5,8FJ8XVa-duF8rPeyfscUPg
chinese,12,2.5,pmETEjaFuxa2o5ppJtG9OQ
chinese,443,3.0,RoXFN-T1s6moM5smbY_5Gw
chinese,19,3.5,FVfQVQAcGDVFaBlrFaLkUg
chinese,54,3.5,owKe1hapqCCLnme2Xr3mrA
chinese,7,3.5,-bBJi79fbtWRzcs_rsU6ag
chinese,131,2.0,5ccJFGa6crpptt9tW0YKAA
chinese,70,4.5,U2aUFZARLeSMf4RQIxjuTw
chinese,128,4.0,2IrDzLVFUFPp229c1x8YNw
chinese,12,3.5,nx4sK_yXLpHL1d3iKT7z3Q
chinese,7,4.0,gqUR7hd3NsxOD_JrD-iFfQ
chinese,31,3.5,vkgl6UT8e7PXoVZUhxXq8w
chinese,31,3.5,Fj5RosdsJV24ZT8S6X-nNQ
chinese,675,3.5,lRSiXYB09Z5x1iINqQ7rHA
chinese,29,3.5,UJtUaOXnwtQA1rb-4BHsCg
chinese,5,3.5,O8-3tePMQIB4Kv_-JCrM9g
chinese,17,4.0,eN7MYNtDzaMzk4WptrVw3A
chinese,16,4.0,RQRQOO_CGhj16AIz4KqlQA
chinese,89,4.0,agCuWjaUJ8xBO_PDDQRiGw
chinese,4,5.0,efjo5qvboOWbiMnNHnLhzA
chinese,358,3.5,dpCSDy9uefOEcY44FHss2Q
chinese,472,3.5,xK8VkEUjAdfrtUBHhvs4Ww
chinese,8,3.0,pNbrxyrG5d5QwRsKbu0cXg
chinese,134,3.0,3TMP2pncE-0LwoDukbaqlg
chinese,573,3.5,spJTHaNjEzKwoEiYWR1ggA
chinese,7,3.5,Pm9g4v6bpq9_OEigK0jHYA
chinese,26,3.5,7CVwzVYgNndEgWrFnVoQBA
chinese,24,3.5,K_gq_5HLN3bDIZlFgnrRsA
chinese,45,3.5,6gE9N5wD4K-bbmSEBm7Lhw
chinese,249,2.5,jhFqmhHRDf7TZcITsKntJA
chinese,2,3.0,mL43TXtc0WlFCfhlN0ziHQ
chinese,175,3.5,02zyTkuXvbGcbA9en_20Gw
chinese,1,5.0,9F3MR4JeKs7XukUzKQGc_w
chinese,2,2.5,bxKK5doRz3SZceEws8Ya8g
chinese,17,4.0,akWRnF0VFJLJD4uOnGWB-g
chinese,124,4.5,fU_PgV2qca4dEo2ZPmivPA
chinese,3,5.0,iusoWK4rykgxUZtPrSDyiw
chinese,35,4.0,PkA0eLD1AZ0voGAmUSG9mg
chinese,14,3.0,yVI01P3ApyLlkqtOfgki7A
chinese,34,4.0,Mx4jHwGh5ZFHRMyiWZ_xfw
chinese,448,3.5,qGgQMVExGERqGhZNDM2ROg
chinese,38,3.0,YJqM9wxCH-PNslHbffzbGg
chinese,8,4.0,-L_ArHSBcNlG5r0djuQ9Dw
chinese,15,4.0,ifF_11thSAez-EK9K3ezmg
chinese,161,3.0,poRWXhCG1-mVxs1kuw_ZEg
chinese,16,3.0,yUVcpgecpq1qncpa1x34Hg
chinese,55,3.0,01m-oqxaCifh0s0eU03bBg
chinese,10,3.5,L6fT2SWSRlwBEc3jWqV2Ig
chinese,3,4.5,0gZapQY8TDv-fzcTdl9wHw
chinese,267,3.5,HHkTmzDBE9sGWvtSW9Ne8A
chinese,29,4.0,Ya_xP6vMzxGbYlandxxeew
chinese,118,4.0,I_Va7AZSHpEwX75S-3hHLQ
chinese,23,4.5,TIckT5ubU4nPbpua1ATG8Q
chinese,1,5.0,MSFk2WoGpMFSJhgHjpQCJA
chinese,21,3.0,9pMa0AdU1yvs8IiUNsDlhA
chinese,131,4.0,BV5Uvivsv_8_wCLK-S3eLw
chinese,4,5.0,YE2FPm9o32ojTG2_1pJBYw
chinese,11,4.5,ikVDSp8YhAYuy0Lua1hpDA
chinese,23,4.0,OWALknbRruLyO8KFPATf_Q
chinese,121,3.0,NMX7QiEh1-ZhAY52t9-Iow
chinese,5,3.0,CYTWS3y7e9zllMdykJp8Lw
