bestAnswer,score,Cuisine,NumberOfReviews,Rating,RestaurantId
1,5.38E-01,chinese,1139,3.5,zubN8Ve-RyoljRZV4NRxEQ
1,6.06E-01,chinese,91,4.5,_Ge2eC89Z-jlaDDWglfT8g
1,9.73E-01,chinese,160,4,WIj12zDqIbBucW1hXYhrew
0,4.61E-02,chinese,49,5,f7QVr9xC8UWXdVz9QvbmNg
1,9.73E-01,chinese,127,4,RoPrfBqmRTqw_cBqcWAfYA
0,8.81E-02,chinese,85,3.5,kbUZnWtro1h8BuPcSOd74g
1,9.73E-01,chinese,209,4,3Rah-cvFk79duFQ83voQ5A
0,4.61E-02,chinese,22,3.5,Ypz7j5vm0kZ2XqpjGjbHNw
1,9.73E-01,chinese,178,4,x64xHVZoQj1ZOjzPqVprkw
1,6.06E-01,chinese,482,4.5,lynQoI3w_pzYfHGeuUU-Qg
0,4.40E-01,chinese,8,4.5,qgNTehLIqShtah57dFLPKQ
1,5.38E-01,chinese,1099,3.5,SyvC0s3y0ZrtnLbwnvw7tw
1,9.73E-01,chinese,235,4,Lp8vAE5nHSt5zbu-lSGK8A
1,6.82E-01,chinese,1751,3.5,B3i4zs5wquFu1UZyzYJ-bQ
1,5.38E-01,chinese,1354,3.5,rYw5rQbWRX9buZHZbxqWdA
1,5.33E-01,chinese,871,3.5,84zvcPTAVCsSVtzCUtSDtA
1,9.48E-01,chinese,47,4,P_a_taGxqxvkzdzp51Bm7A
1,9.48E-01,chinese,67,4,neabGe_cEiXaNE1rESYPjw
0,4.40E-01,chinese,6,4.5,0kKYP-_ScvaHi0LUqg-iBA
1,9.73E-01,chinese,325,4,6tASYtO9zOrXr8-LPnAToQ
1,9.48E-01,chinese,48,4,8td6qiBvZ-En6gSpPjXWzQ
0,4.61E-02,chinese,66,3.5,LqMHxKckcnSRWrJ6T_irnw
1,9.48E-01,chinese,44,4,RoqLH-4rDugHlduthnZggg
1,9.48E-01,chinese,41,4,qbLLdO0VEAWXGnygtQfoDQ
0,3.54E-01,chinese,703,3,Te2iLepC0UrJRzVKexFukQ
1,9.73E-01,chinese,91,4,DKGUSLiqNchBNatKoPM9QQ
1,9.73E-01,chinese,179,4,lQ8Fzgji9qmgRXkFcvAsVQ
0,8.81E-02,chinese,268,3.5,wDRgZ1i7xcJ51xgtfO-fxQ
1,9.48E-01,chinese,39,4,DOa_Hm5HHT99GOvlhbydaQ
0,2.11E-01,chinese,3,4.5,EiCGsUE6ME51Y7XI-NBINw
0,8.81E-02,chinese,113,3,7hh2eP4HVkyjtpcqeITk3Q
0,8.81E-02,chinese,317,3.5,S2NwTMDe4Vcs6nAoTeMYlA
1,6.34E-01,japanese,47,4.5,MzA6gitJKqfW4VrdS7AiQw
1,9.48E-01,chinese,72,4,NjBgTtcJgdXKLvqYt3C8CQ
0,5.50E-04,chinese,65,2.5,xNge6PZM4ACi74NSDeQcxw
1,9.97E-01,chinese,590,4,P2bxlKAmRWZIpHdJ_JT3fg
1,9.73E-01,chinese,387,4,BPErPpKSNluwcjbKRgze3w
1,9.73E-01,chinese,166,4,30pqvzHrCNmnodJCRyzrTg
0,4.70E-02,chinese,10,5,A_fZL0ir_actclrL-ePTOw
1,9.73E-01,chinese,110,4,heM6XLWvfYuivaf2IjBMFQ
1,9.49E-01,chinese,9,4,ikx8R8u2lmxhpLGByCjgPw
0,8.81E-02,chinese,504,3.5,B7bxdtvLYR7Nmex4AIFd4w
1,5.38E-01,chinese,1557,3.5,_usWsAYSKKV2q8xw-3ajrA
1,9.73E-01,chinese,199,4,dn8_HgoGUE4IFzwPI6GeLA
1,9.51E-01,chinese,13,4,J4x8WRUAoG7HKiGMjFGPvQ
0,4.61E-02,chinese,66,3.5,71_8yA0L_FCwfgC-8KQjXA
0,4.61E-02,chinese,34,3.5,FDhOPRZ01PDEEH-QCnVIyQ
0,4.80E-01,chinese,623,3,lpLd3AFaMOV7LfPtvUiq8A
0,4.35E-01,chinese,53,4.5,w3wKbjuNCZnYoPOr-FCk5w
1,9.73E-01,chinese,167,4,eMmcNV51xPKNGMCqBccPvw
1,9.48E-01,chinese,39,4,1fVp9c5Vw04ig171a_juRw
1,9.73E-01,chinese,456,4,bT4CDzyhV-frXV6ijvXnvw
0,4.35E-01,chinese,76,4.5,HjUwZOlok1TabhS4S1ya2w
1,9.73E-01,chinese,134,4,mxjv5RgkTr5qw3wjr2fXmA
0,4.61E-02,chinese,21,3,wBDwFCpRQTwhP3QbGe3a5g
1,9.73E-01,chinese,230,4,bcqTacyE-0XDaZYG_xbTBQ
0,8.81E-02,chinese,154,3.5,lFq-2FMJogdokie314E1bQ
1,9.73E-01,chinese,271,4,dDXtga5Kgo5B1twdezcZJA
1,6.82E-01,chinese,1943,3.5,FH978pIP1TLRuPAH-MbWIQ
1,9.48E-01,chinese,48,4,croh2zWlbPyCQTNS11klcg
1,9.73E-01,chinese,255,4,_XLLSXPIjgoZQtwU3RCcQA
1,9.73E-01,chinese,147,4,wDuf4Qz9qsC62amLZgWNJQ
0,4.35E-01,chinese,30,4.5,3OT1deSiIYhrcXWJ1sD3wA
1,9.73E-01,chinese,485,4,8ig0yf0003DAp4YOGTlbVg
1,9.48E-01,chinese,57,4,SNDUD4LFjVHWwrdAkokxRg
1,9.73E-01,chinese,175,4,WzdVUuFIv1JzLPTZRnTjVA
1,5.38E-01,chinese,1249,3.5,L37A2JWXfwR_PgKColA8xA
0,2.11E-01,chinese,3,4.5,E7q1Qf6380N_aMqz28EgNw
1,9.73E-01,chinese,206,4,sfsjk1h50ooC2ioY7m48gw
1,9.48E-01,chinese,34,4,h4Rv0JxE97_I1dNDmuzb1g
1,9.73E-01,chinese,403,4,B8tDnyFltP3bxMxSsjCvVA
1,9.73E-01,chinese,190,4,xCHApgtkLpEyh0lz-uhZvg
0,8.81E-02,chinese,132,3.5,2tR7d61tBGNlGaJRYvrN0Q
1,9.48E-01,chinese,46,4,3fQ9IExhN9KMqGHVm_9AEQ
1,9.73E-01,chinese,273,4,lKxmH-hQ6ezKbq4URKrd-Q
0,3.54E-01,chinese,734,3.5,rEbwps11tIERRkwQrIXQog
0,4.40E-01,chinese,7,4.5,tpNw3wIbehblYJAxPWFDRw
0,4.51E-01,chinese,12,4.5,PXm4BNjTgWHYClemDAkDjw
0,4.91E-02,chinese,17,3,eNZ4VK4G9z5LPdG756pixw
0,4.35E-01,chinese,48,4.5,dhR4FMfoN0-MT5JOs7B-5g
0,4.61E-02,chinese,36,3.5,_5E5cZP0PzkwfdEqTebBUg
0,4.35E-01,chinese,21,4.5,4p5Fzyt3-mEYFKIYqZ54aA
0,4.61E-02,chinese,74,3.5,RffIwNrMmEf5auDVP1eURA
1,9.48E-01,chinese,25,4,54om5q7V4anmIXw2PdNJbA
1,9.48E-01,chinese,46,4,MXstrG3HjF83LcxAd8OpTw
1,9.73E-01,chinese,84,4,JjzCmRn3q8JrlwHx8nFhAA
0,8.81E-02,chinese,137,3.5,Jn7Wtek5_R12TKp2VUJuhw
0,4.51E-01,chinese,14,4.5,Tk605KjXVTnXpGkOSuVBaQ
0,8.81E-02,chinese,108,3.5,TWI3efEcCVsTErKFWz4Zqg
1,9.48E-01,chinese,40,4,KavW0SjAiElP2ajaexNQDQ
1,9.48E-01,chinese,22,4,e6c0R0ME8QGw_ZY0RzuGxQ
0,1.65E-02,chinese,1,5,i7dD3RpslT-ZWFjdu6XVeA
0,8.81E-02,chinese,212,3.5,yEHZiUgIihoSg6quQHcgmA
0,8.81E-02,chinese,305,3.5,8UlRXXPaSI383aiOiJQi5A
0,8.81E-02,chinese,110,3,MYPes7EWP5aLiVG1Z_9eFQ
1,9.49E-01,chinese,5,4,EgBPFtixZK9VhRtFsobDxg
1,9.73E-01,chinese,385,4,Kqb7MjTPNkjPMoFRd-rWpw
1,9.73E-01,chinese,128,4,tS4aiWBYgzlqKX898jr3_w
1,9.48E-01,chinese,27,4,EN9_LsFpY44Hkzcnu0jfIg
1,5.38E-01,chinese,1451,3.5,6zM0c7vvoddgza_qvKkATw
1,6.06E-01,chinese,121,4.5,DPOWubhvyzYGjLbVvbr_sg
1,9.48E-01,chinese,78,4,qH8PVeddtVs9cKN2pwgdkQ
1,9.48E-01,chinese,34,4,AA54rKcNIMglGhofj0huvg
0,8.81E-02,chinese,156,3.5,aije_BqBVVl-6T13QsnRqQ
0,8.81E-02,chinese,376,3.5,SVJNB9LqI13jtVyKMZVqeg
0,8.81E-02,chinese,293,3,s25mujxKWphsyFm0Ji1xYA
1,9.73E-01,chinese,99,4,5RjZCsXuWPclyrDsnsXw7w
0,4.61E-02,chinese,41,3,GTVPC-4dLsJpRr57J3V6NQ
0,1.78E-01,japanese,189,3,6kCo3xb87Sc3Aa5ZSWzNnw
1,9.49E-01,chinese,7,4,u5dmxko_LFYw0sAvIA8qNA
0,8.81E-02,chinese,104,3.5,Yb6PQ_4YQpJ0SVZ1tetkbg
1,9.73E-01,chinese,295,4,l44CFBTejwL0ElKmkH7xQQ
0,8.81E-02,chinese,108,3.5,KwTr8s5IrVq6tMO4XE6P-w
0,8.81E-02,chinese,264,3.5,gxvwxZWWSKNFMsVr10YAQg
0,8.81E-02,chinese,206,3.5,7hyQqnnAisSL-nfIWCPziQ
0,8.81E-02,chinese,219,3.5,tfMPbnQqJ1P1RIab-o6gtg
0,4.51E-01,chinese,12,4.5,XYdIb4Y9fCXNiHY3S1WAYw
1,9.48E-01,chinese,67,4,SBJHGtqJyfaU47NPjGAU6A
0,4.61E-02,chinese,46,3,PUwrkoUztUYs4VdHlK9qBg
0,3.54E-01,chinese,712,3.5,6LfskUyZzmcDSV6h5kOwGw
0,4.61E-02,chinese,32,3.5,wo7-TKh4B37RTBjPNtkp7w
0,3.54E-01,chinese,700,3.5,XkL6fOBtaIqVCMXVCY9row
0,4.40E-01,chinese,6,4.5,2UAvRLaWMc8lYE4FZSPhrA
0,4.35E-01,chinese,63,4.5,bRL9IQG2gpdAAEcaa8V0Qg
0,4.61E-02,chinese,39,3.5,KgosIJNr-XTOsjkiKlS4vQ
0,4.70E-02,chinese,7,3.5,C8uqkZ2ArRAqcD_uXkMpHw
0,4.61E-02,chinese,21,3.5,hBbAmEYXM4L03AU9Vt_p9g
1,9.51E-01,chinese,14,4,b2d8CP6sKQotFjzZX0Thtw
1,9.48E-01,chinese,30,4,cWPdP8_GqEWxZKRiOonfDg
0,4.61E-02,chinese,45,3,LrFnMmjirO9jtyo0tTdfVg
0,8.81E-02,chinese,155,3.5,CesS-E8Q3ztX6VnkXO6wBg
0,8.81E-02,chinese,329,3,NZb6ILmE0p4gQ5harzrAvA
1,9.73E-01,chinese,216,4,vZgJyMZlpSSS_Y-duxd4_A
1,9.73E-01,chinese,133,4,mA7_wkXy3fDuQ00iV6GYqQ
0,4.91E-02,chinese,18,3.5,FWeJx2alqE_JXqS5yIdw3w
1,9.51E-01,chinese,11,4,g42C_GsiLWzbVY2OZQsoyw
1,9.73E-01,chinese,94,4,-7PgxPVUGZh__U3CxRFKxg
0,4.35E-01,chinese,27,4.5,SGpqzs1ZtOqGPVTfedrf8w
0,8.81E-02,chinese,138,3.5,rkeH5HJIuX7ZcOaYNum9xA
1,9.73E-01,chinese,474,4,Va_mnsEvBghHXvc7uZIWJQ
0,8.81E-02,chinese,324,3,PGeL1b4xNJggpZsHEGoxjg
0,4.91E-02,chinese,11,3.5,0odtQty6tMRPQ7UrNysUxw
1,9.73E-01,chinese,93,4,eqdqHdY1CdCRHMXf6CgK3Q
0,4.91E-02,chinese,18,3.5,2DlAPX4KBG8e7veOWYR6DQ
0,8.81E-02,chinese,221,3,Ece_DRuD1yQjRPJBAebRpw
0,8.81E-02,chinese,115,3.5,Bwj7nzWphGV6FaZ_ygTSOg
0,4.61E-02,chinese,55,3.5,s5JNxy0eAFgxS2Poi73ODw
0,4.91E-02,chinese,16,3.5,#NAME?
0,8.81E-02,chinese,183,3.5,XmycF9-fpEPlgMe8_qgJrQ
0,4.61E-02,chinese,24,3,TUpKY3rsYnrYHkbuD46bxg
1,9.48E-01,chinese,23,4,#NAME?
0,4.35E-01,chinese,22,4.5,zPMSuQJRpXi11G_Tqv1LJQ
1,9.51E-01,chinese,16,4,CflDIalFPdd7U3-fcq4Lkg
0,7.37E-02,halal,53,3.5,VEjkxniAlG35cR3pjHvF-A
0,4.61E-02,chinese,21,3.5,GfLL6-n6UNZ07SEHfjeIgA
0,4.91E-02,chinese,19,3.5,SyEJPitYvvjrnnSXOzGcDA
0,1.65E-02,chinese,1,5,l2QAblZ1ii7v030GUVBsJQ
0,8.81E-02,chinese,332,3.5,si4n0EtvAl3QisVHoKPOuw
1,9.48E-01,chinese,26,4,gAugxpTjPNbMK86dvXirJQ
0,4.80E-01,chinese,550,3.5,Vzx-7-jSEBz2g8NuGVhHvQ
0,3.64E-02,japanese,1,5,0CXOlOPhQSSg3lSs27GOTA
0,4.61E-02,chinese,23,3.5,Cyv-tW4BljwWnP16HI_zAg
0,8.81E-02,chinese,387,3.5,wurhcLKXD4YJ5XfTxpbE5Q
0,8.81E-02,chinese,105,3.5,ZdLS7gD1ulmCPkqNc9_S3A
0,4.61E-02,chinese,57,3,ujp85itdKDVskfVijsZgGA
1,9.48E-01,chinese,28,4,nXh79laNQ7leN92F5Ore-Q
0,8.81E-02,chinese,235,3.5,38KDbZ8yuozUbswBr6OWVA
1,9.73E-01,chinese,178,4,sGwQYKPaMJ-tD2E4fQ0EJQ
0,4.51E-01,chinese,11,4.5,A_e9adJ7v_U7trur2JMrgA
0,8.81E-02,chinese,172,3.5,Tb4aUIIy74xG9wLDEwpxdw
0,2.12E-03,chinese,26,2,fSrNR5LTGNZ0prZWGivLrA
1,9.83E-01,halal,314,4,AvTezlpt3GXTdSEnXbHP4w
1,9.49E-01,chinese,5,4,f_drbnpRrvOfLKWMiT247w
1,6.06E-01,chinese,139,4.5,vgG8hgJbPLKfx-n9TYqCDw
0,1.65E-02,chinese,1,5,lprKZ3XmS2VuUdkHkCh2sQ
0,8.81E-02,chinese,426,3,v2dtG37r1ThqtfEfiFsAUg
0,4.91E-02,chinese,15,3.5,gNFgZSfndMAjK0ClvQ5Q2A
0,4.51E-01,chinese,12,4.5,BAKjtydOJj6KrsGCo-6DEQ
0,8.81E-02,chinese,144,3.5,c10jv8s_MJdFFOXviSt2Ew
1,9.73E-01,chinese,260,4,ovOupYdkZOWUeDMOdt--ng
1,9.48E-01,chinese,21,4,5u4T6-Z-KhHrRZ9g54pugQ
0,3.54E-01,chinese,760,3.5,uaFHoq-a5XqxF-bsOK9_Qg
0,8.81E-02,chinese,167,3.5,lgS9lE0Y9FhzT68zCj5QCw
1,9.51E-01,chinese,20,4,yYb0d4LHFgH65KZeKuxwpQ
0,4.40E-01,chinese,4,4.5,xsU6Gs5m89_u2d7G75s4dw
1,9.48E-01,chinese,26,4,Aux2Mp7bGnF3S6h60ab3iQ
1,9.83E-01,halal,90,4,ubeG-hyIV8qoSSAk_pAZ2A
0,2.11E-01,chinese,3,4.5,odSCzx-II2aPg9yhcVda7A
0,1.10E-03,chinese,385,2.5,_RhAY03oEBw9HNwUAJyBCw
0,8.81E-02,chinese,90,3.5,zyG1GIU3KnIZ3bOVGgJXlA
0,4.61E-02,chinese,55,3.5,Qgv2vyUV-DwK8YwrhU-jtw
0,1.65E-02,chinese,3,3,FZq-6qLB1RLG59V8dTnFhw
0,4.51E-01,chinese,13,4.5,VQ5YGa4L4AT3ugF61hM9qQ
0,8.81E-02,chinese,254,3.5,Nt3Y26a6OMtdBe8xMMJjqQ
1,9.49E-01,chinese,10,4,NpIYZAo55GDnIxwkkh6Q7g
0,8.81E-02,chinese,155,3.5,AxalkZb61r5Ks7l1yhhIHQ
0,8.81E-02,chinese,143,3.5,nBm-zxAWg_oA8JNtHxPvcw
0,8.81E-02,chinese,113,3,56wxE888GknVcUeAXBfqFw
0,4.61E-02,chinese,73,3.5,LztkKM-lvRraBbS9TVXzcg
0,4.91E-02,chinese,17,3,wfkHwMHUxzmN4YjBbjSd9A
1,9.51E-01,chinese,18,4,BJi6fX-mObaJ3N75v6mwaQ
1,5.33E-01,chinese,837,3.5,uiQ6p_3biJD5S4PrF58t_g
0,8.81E-02,chinese,481,3,g_5V15Xp1OvB1QXuGMstYA
0,8.81E-02,chinese,419,3.5,S-aX_Pz8F7nDL6kRThKcHw
1,9.48E-01,chinese,23,4,rlJ2Moc6A9R3qpYJlR8D3Q
0,8.81E-02,chinese,143,3,OfqANzeWRlZrdHQuG7pI0w
0,1.65E-02,chinese,1,5,NzN-RBnAA022LW4_dHHnqw
0,4.70E-02,chinese,7,3.5,EcGGPApH_o84-_kmi-RaJw
0,4.40E-01,chinese,10,4.5,b7uTP_afs5Gkf66K7yDl-w
0,4.70E-02,chinese,10,3.5,vSPKmk499CglpfJFuFvbvg
1,9.73E-01,chinese,174,4,osnb51lPIHxUKRlcg7idwA
0,4.70E-02,chinese,4,5,WEa266y5CsANNqvyfG7elA
1,9.48E-01,chinese,22,4,LpfsAZ7mBmK1om17S477zA
1,9.49E-01,chinese,8,4,vSkCDRWX6VvP4PJHHFgoDw
0,8.81E-02,chinese,225,3,zYoL-o9YJpGTwJ-Gmj8AFA
1,9.49E-01,chinese,7,4,T9qOf4gw6poRTTiDx5pH9g
0,4.91E-02,chinese,14,3.5,lbZqfX4vvCr1aMLuEey3Ag
0,4.40E-01,chinese,5,4.5,W-i6X2KWxRjsG05CgIM9ow
1,9.48E-01,chinese,55,4,tDYk6DmmU3buWBs9G0NBXQ
0,4.51E-01,chinese,16,4.5,QQfwlKFD6X8-ZXf7gfQZqg
0,4.61E-02,chinese,49,3.5,zLKnugqoFX0BRQKJJsdnbg
0,8.81E-02,chinese,220,3.5,IgTNgGE0qvTjkmCUzrNwtQ
0,7.39E-04,chinese,2,1.5,n5YdV7lfRP1ysnooQa-76w
0,4.40E-01,chinese,10,4.5,W3XmpomxgjrVjrAE_Z55ow
0,4.91E-02,chinese,20,3,essVcYQ__u-hVR5Y0eAfSQ
0,4.61E-02,chinese,51,3.5,BcOuqkUniZJG5NLpdzeOYQ
1,9.51E-01,chinese,15,4,TDXFB6lBsA-uvFdnPxBv9g
1,9.48E-01,chinese,28,4,y8xZmhrp6zKnxJNtqFa_8g
0,8.81E-02,chinese,132,3.5,joSU4pnYVMhAuZ6ccaqqdA
0,8.81E-02,chinese,408,3,4s_PhObBStJL6EYVtIAsrQ
1,9.48E-01,chinese,70,4,YIwYw_A_LRwK66HBTzogYQ
0,1.65E-02,chinese,2,3.5,zlWJL3lO7Ar1Mt8lyTbocg
1,9.73E-01,chinese,205,4,83ZcxzvtHX2PmsH_wPReOw
1,9.73E-01,chinese,100,4,DpfE0gPBXj-aj2pnEh4E2Q
0,8.81E-02,chinese,88,3.5,rpLZDxivPeb9ZXqqgDPfpg
0,4.61E-02,chinese,25,3,Xl0JBlbr-D4aICTMcYi5TA
0,4.61E-02,chinese,65,3,EP5F-WYOuJ22NrCyNWYccA
0,4.61E-02,chinese,24,3,I80-WqcToTJ6VdXoRq6DYA
0,5.50E-04,chinese,43,2.5,HIGneWKny_s38Y6jRoTDrQ
1,9.51E-01,chinese,16,4,G9uSeXMXv6QB8ZEQeOhYVA
0,4.61E-02,chinese,30,3,m5XY2noC-5hoG9kRV-aOGw
0,4.61E-02,chinese,52,3,J9kON4T_XtDPDk6jRoR5xA
0,8.81E-02,chinese,85,3.5,hY3z_joaHduNcF-C3ZWgqA
0,4.61E-02,chinese,44,3.5,POA4ua0BjwnJgzNWxkHmUA
0,8.81E-02,chinese,95,3.5,AJKcsxpc9IthvhdEnfqogg
0,1.78E-01,japanese,451,3.5,53y6b_-YaptXhlm2-STzeA
0,4.91E-02,chinese,15,3.5,fahnqhxhFqyMAHKVC01sSA
1,9.49E-01,chinese,5,4,2EX6_AH5gUj0fBY2YAnNrw
0,4.61E-02,chinese,30,3,rk8V5c1Wr5gVLKOaY0g4VQ
1,9.49E-01,chinese,8,4,lNVGCxjs0_FZz4J81ds71Q
1,5.33E-01,chinese,956,3.5,ZUBqQZwMGZSOVbfpOI_uyg
1,9.48E-01,chinese,58,4,yDfgB1nvvuABZVzVjoJV7A
0,4.80E-01,chinese,575,3.5,RTFIMX31BPeZzx7kJJ1SCA
0,4.61E-02,chinese,76,3.5,kB2XfL4Rr8cxetafqu5kXQ
1,9.73E-01,chinese,171,4,duofsxNkSFWVre6eV1uhUQ
